name,latitude,longitude
Lescherolles,48.77233,3.34581
La Ferté-Gaucher,48.78219,3.2977
Jouy-sur-Morin-Le Marais,48.79062,3.27351
St-Siméon,48.79925,3.20855
Chailly-Boissy-Le Châtel,48.81427,3.15193
Coulommiers,48.80765,3.08184
Mouroux,48.81328,3.04473
Faremoutiers-Pommeuse,48.80855,2.99341
Guérard-La Celle-sur-Morin,48.81043,2.95464
Dammartin-Tigeaux,48.8106,2.92573
Mortcerf,48.78912,2.90774
La Houssaye-Crèvecoeur,48.75461,2.88346
Marles-en-Brie,48.73427,2.8675
Tournan,48.73931,2.75957
Magenta,48.88034,2.35837
Mulhouse-Ville,47.74199,7.34344
Hasenrain,47.73558,7.32946
Brunstatt,47.71979,7.31414
Flaxlanden,47.69845,7.30421
Zillisheim,47.69434,7.2945
Illfurth,47.67603,7.26818
Tagolsheim,47.65482,7.26391
Walheim,47.64179,7.26316
Altkirch,47.6271,7.23959
Ballersdorf,47.61985,7.15515
Dannemarie,47.62741,7.1239
Valdieu,47.63114,7.05578
Montreux-Vieux,47.61738,7.02464
Petit-Croix,47.6101,6.99463
Chèvremont,47.62166,6.92074
Belfort,47.63251,6.85414
Trois-Chênes,47.6479,6.84605
Valdoie,47.66514,6.83741
Bas-Évette,47.68086,6.80692
Champagney,47.70315,6.70123
Ronchamp,47.69907,6.62319
Lure,47.68296,6.49275
Genevreuille,47.67834,6.38137
Creveney-Saulx,47.68301,6.287
Colombier,47.66091,6.2147
Vesoul,47.61747,6.15174
Vaivre,47.63328,6.10366
Grattery,47.67172,6.0823
Port-sur-Saône,47.68971,6.05314
Port-d'Atelier-Amance,47.76247,6.03999
Montureux-lès-Baulay,47.81299,5.98703
Jussey,47.83696,5.90323
Barges-Cemboing,47.85517,5.86334
Vitrey-Vernois,47.83245,5.7812
Laferté-sur-Amance,47.82209,5.68365
Charmoy-Fayl-Billot,47.8259,5.62874
Hortes,47.83408,5.5491
Chaudenay (Haute-Marne),47.82492,5.49012
Culmont-Chalindrey,47.80974,5.44302
Langres,47.87723,5.34471
Humes,47.90584,5.30217
Rolampont,47.9488,5.28289
Vesaignes-sur-Marne,47.99795,5.26368
Foulain,48.04167,5.21125
Luzy-sur-Marne,48.06059,5.1805
Chaumont,48.10944,5.13443
Villiers-le-Sec,48.11205,5.06903
Bricon,48.08739,4.97907
Maranville,48.14005,4.86866
Clairvaux,48.15818,4.80142
Bayel,48.19736,4.78456
Bar-sur-Aube,48.23852,4.70688
Arsonval-Jaucourt,48.26095,4.64708
Jessains,48.28504,4.58267
Vauchonvilliers-Maisons-des-Champs,48.26057,4.53789
Vendeuvre (Aube),48.24035,4.46719
La Villeneuve-au-Chène,48.22928,4.38912
Montiéramey,48.22691,4.32908
Lusigny,48.25248,4.2505
Montaulin,48.25903,4.19424
Rouilly-St-Loup,48.2614,4.15462
Troyes,48.29501,4.06542
Barberey-St-Sulpice,48.33523,4.02656
St-Lyé,48.35881,3.99915
Payns,48.3806,3.97391
Savières,48.40447,3.95085
St-Mesmin,48.43877,3.92572
Vallant-St-Georges,48.46607,3.89956
Mesgrigny-Méry,48.48674,3.88023
Châtres (Aube),48.49911,3.85511
Maizières-la-Grande-Paroisse,48.50503,3.78599
Romilly-sur-Seine,48.51416,3.72834
Crancey,48.51519,3.63979
Pont-sur-Seine,48.5141,3.59982
Marnay-sur-Seine,48.50941,3.56139
Nogent-sur-Seine,48.49784,3.49373
Herme,48.48425,3.35194
Flamboin-Gouaix,48.47231,3.2946
Longueville (Seine-et-Marne),48.51237,3.25128
Maison-Rouge-en-Brie,48.53632,3.14704
Nangis,48.56127,3.0129
Grandpuits,48.58981,2.96923
Grandpuits-Bagneux,48.59801,2.94049
Mormant,48.61392,2.88857
Verneuil-l'Étang,48.64469,2.82493
Ozouer-le-Voulgis,48.66571,2.78203
Villepatour-Presles,48.69665,2.74369
Gretz-Armainvilliers,48.74533,2.72865
Ozoir-la-Ferrière,48.77052,2.69042
Roissy-en-Brie,48.79549,2.65095
Émerainville-Pontault-Combault,48.80666,2.6174
Les Yvris-Noisy-le-Grand,48.82352,2.57932
Villiers-sur-Marne,48.82328,2.54256
Les Boullereaux-Champigny,48.82493,2.51125
Nogent-Le Perreux,48.83844,2.49436
Val-de-Fontenay,48.85422,2.4892
Rosny-sous-Bois,48.87039,2.48568
Rosny-Bois-Perrier,48.88246,2.48108
Noisy-le-Sec,48.89667,2.46039
Pantin,48.89807,2.40028
Paris-La Villette-Hébert,48.89353,2.36878
Paris-Est,48.87755,2.35916
Gerbéviller,48.49296,6.50897
Mirecourt,48.2997,6.12877
Baccarat,48.45226,6.74405
Kalhausen,49.03533,7.12525
Valmondois,49.09159,2.202
Gunsbach-Griesbach,48.04156,7.17486
Munster,48.03824,7.13283
Chars,49.16276,1.93671
Gundershoffen,48.90524,7.65325
Barbery,49.21819,2.69969
Longpré-les-Corps-Saints,50.0113,2.00306
Ormoy-Villers,49.20089,2.83803
Hettange-Grande,49.40817,6.15601
La Forge,48.69893,7.02485
Rieux (Nord),50.19893,3.34165
Fouilloy,49.73649,1.82565
Walbourg,48.88584,7.80915
Mennevret,49.98287,3.56122
Lafrancheville,49.72814,4.71428
Goxwiller,48.43258,7.47869
Bischoffsheim,48.48678,7.49779
Bischtroff-sur-Sarre,48.90344,7.07349
Rodange,49.54335,5.8108
Béthisy-St-Pierre,49.29693,2.79681
La Fère,49.65783,3.36874
Estrées-St-Denis,49.43788,2.64271
Nouzonville,49.81219,4.74271
Brebières,50.33635,3.01369
Maizières-lès-Metz,49.21555,6.15822
Tupigny,49.95911,3.59591
Bettembourg,49.47187,6.10787
Offekerque,50.95246,2.01533
Colombes,48.92394,2.25898
Gaillefontaine,49.62695,1.62222
Douzies,50.27522,3.92971
Lille CHR,50.61462,3.03485
La Ferté-Chevresis,49.73854,3.55565
Bogny-sur-Meuse,49.85845,4.76338
Montérolier-Buchy,49.60334,1.33607
Berthelming,48.81201,7.00791
Auxi-le-Château,50.22613,2.11935
Vicoigne,50.3985,3.47875
Roye (Somme),49.70507,2.78664
Bauvin-Provin,50.51167,2.90504
Croix-l'Allumette,50.6866,3.15061
Laifour,49.9115,4.69286
Guebling,48.86916,6.73372
Ciry-Sermoise,49.37019,3.46759
La Rue-St-Pierre,49.41168,2.31459
Haybes,50.01174,4.70396
Schwindratzheim,48.75358,7.60065
Einvaux,48.5034,6.39312
Brumath,48.7329,7.70008
Nieppe,50.6966,2.82913
Lille-Bifurcation-de-la-Justice,50.61122,3.08238
Ménévillers,49.52583,2.60625
Montdidier,49.64135,2.56185
Salomé,50.54163,2.83696
Blodelsheim,47.88662,7.52345
Landroff,48.95429,6.61309
Sundhoffen,48.04654,7.4215
Reichshoffen-Ville,48.93069,7.65796
Nouvel-Avricourt,48.6508,6.82127
Azincourt-Garage,50.31963,3.21922
Chaulnes,49.80739,2.80136
Mareuil-sur-Ourcq,49.13545,3.0753
Scherwiller,48.28657,7.43053
Epfig,48.36354,7.44979
Boulogne-Tintelleries,50.72712,1.60964
Hausbergen,48.6229,7.72414
Gondrecourt-Aix,49.24217,5.76115
Braches,49.73504,2.5075
Île-Napoléon-Garage,47.78371,7.43298
Conflans-Jarny,49.16669,5.86692
Mantes-Station,48.98373,1.71577
Sarrebourg,48.73846,7.05193
Montdidier,49.6416,2.5636
Rang-du-Fliers-Verton,50.41598,1.64807
Blangy-sur-Bresle,49.93303,1.62484
Sommepy,49.248,4.55441
Ponts-et-Marais,50.04093,1.44217
Rethondes,49.41616,2.90994
Mommenheim,48.75582,7.64277
Nielles-lès-Blequin,50.67868,2.03262
Roeschwoog,48.83337,8.02953
Ferrière-la-Grande,50.25439,4.00115
Amiens,49.89022,2.30929
Carly,50.64937,1.7032
Dunkerque-Ferry (IE),51.01921,2.19102
Laneuville-St-Joire,48.59984,5.40156
Cergy-le-Haut,49.04767,2.0108
La Flamengrie-St-Waast,50.3028,3.72862
Barr,48.40303,7.45689
St-Pierre-lès-Calais,50.9394,1.88164
Poix-de-Picardie,49.7774,1.99082
Bouffemont-Moisselles,49.04496,2.32326
Ettendorf,48.80842,7.58557
Dieppe,49.92142,1.08097
St-Gobert-Rougeries,49.80296,3.81049
Roncq,50.74943,3.11833
Louvemont,48.54999,4.91946
Éclaron,48.58422,4.88031
Allichamps,48.55662,4.87786
Voillecomte,48.5087,4.84455
Montier-en-Der,48.47389,4.76815
Vallentigny-Maizières,48.44145,4.58629
Brienne-le-Château,48.39632,4.53238
Dienville,48.34771,4.54502
Belfort-Montbéliard-TGV,47.58602,6.89845
Besançon-Franche-Comté-TGV,47.30989,5.95994
Blaise-sous-Arzillières,48.66993,4.5872
Arzillières-St-Rémy,48.6431,4.59387
Gigny-Brandonvillers,48.5968,4.58416
Chavanges,48.50832,4.58606
Vallentigny-Maizières,48.44145,4.58629
Brevonnes,48.35858,4.40104
Piney,48.35825,4.33367
Rouilly-Geraudot,48.32771,4.28509
Thennelières,48.28735,4.17642
Anglure,48.58341,3.80387
St-Quentin-le-Verger,48.62326,3.75118
Barbonne-Fayel,48.65855,3.7061
Sézanne,48.71438,3.72815
Linthes-Linthelles-Pleurs,48.72549,3.85398
Connantre,48.73229,3.92538
Fère-Champenoise,48.76336,3.98555
Morains-le-Petit,48.81298,3.98342
Coligny (Marne),48.85036,3.97108
Vertus,48.90228,4.00934
Mesnil-sur-Oger,48.94867,4.03239
Avize,48.97493,4.02294
Monswiller,48.76437,3.99028
Fère-Champenoise,48.76321,3.98548
Sens-St-Clément,48.20888,3.28019
Malay-le-Grand,48.18063,3.33764
Theil-Cerisiers,48.17486,3.41172
Chigy-Sièges,48.20013,3.46432
Villeneuve-l'Archevêque,48.23842,3.54762
Vulaines-Rigny-le-Ferron,48.23172,3.62049
Aix-en-Othe-Villemaur,48.24799,3.7181
Estissac,48.27438,3.80261
Fontvannes,48.27507,3.87732
Charmont,48.40377,4.17309
Montsuzain,48.44215,4.12709
St-Étienne-Nozay,48.50091,4.10435
Mailly-le-Camp,48.67539,4.18104
Allibaudières,48.58529,4.10284
Herbisse,48.62582,4.10893
Arcis-sur-Aube,48.53353,4.13012
Sommesous,48.73699,4.19339
Bussy-Lettrée-Vatry,48.80895,4.24853
Nuisement,48.88034,4.30979
Coolus,48.93769,4.35271
Champagne-Ardenne-TGV,49.21446,3.99359
Lorraine-TGV,48.94727,6.16993
Meuse-TGV,48.97873,5.271
Champagne-Ardenne-TGV,49.21423,3.99416
Villenauxe,48.58964,3.56435
Montmirail,48.87297,3.53093
Artonges,48.9266,3.54234
Condé-en-Brie,49.00525,3.55613
Crézancy,49.0509,3.51598
Mézy,49.06673,3.50643
Villiers-St-Georges,48.65115,3.41296
Beauchery,48.61492,3.40551
Léchelle (Seine-et-Marne),48.57999,3.38347
Provins,48.5558,3.30335
Champbenoist-Poigny,48.54573,3.28693
Ste-Colombe-Septveilles,48.52967,3.25583
Esternay,48.7309,3.56211
Neuvy,48.74395,3.51525
Joiselle,48.76644,3.48738
Wambaix,50.134,3.31138
Montreuil-sur-Mer,50.46671,1.76883
Arras,50.28667,2.78194
Ponthoile-Romaine,50.23429,1.69882
Gancourt-St-Étienne,49.53563,1.69434
Laveline-devant-Bruyères,48.1856,6.75194
Germaine,49.12786,4.02256
Strasbourg-Neudorf,48.56929,7.74357
Nesle-St-Saire,49.6966,1.49544
Baisieux,50.61862,3.23525
Arches,48.11992,6.52818
Oderen,47.91135,6.97352
Vaucelles,49.02159,2.22979
Graffenstaden,48.53336,7.69011
Aspach,47.77028,7.14301
Pulligny-Autrey,48.53573,6.13767
Longuyon,49.44438,5.60477
Blanc-Misseron,50.40489,3.66085
Lourches,50.31025,3.34342
Corcieux-Vanémont,48.19833,6.87715
Blangy-Glisy,49.87859,2.40882
Mont-St-Éloi,50.34201,2.66975
Trith-St-Léger,50.33183,3.48928
Blénod-lès-Toul,48.59953,5.84985
Metzervisse,49.31803,6.28371
Samoussy,49.59392,3.73796
Thionville,49.35373,6.16982
Dannes-Camiers,50.57632,1.61486
Le Touquet-Aéroport,50.51459,1.61811
Sampigny,48.82545,5.51417
Rieux-Angicourt,49.29769,2.51927
Coucy-le-Château,49.52601,3.31014
Hattencourt,49.76556,2.78318
St-Mihiel,48.89587,5.5376
Moulin-Neuf (Oise),49.16127,2.25805
Chivres-en-Laonnois,49.63748,3.84193
Boulogne-Ville,50.71562,1.61036
Le Raincy-Villemomble-Montfermeil,48.88925,2.51162
Beinheim-Embranchement,48.8718,8.07739
Rothau,48.45897,7.20732
Longueil-Ste-Marie,49.34234,2.71611
Beuvrages,50.38946,3.50743
Anor,49.98502,4.09303
Gannes,49.57212,2.43705
Fienvillers-Candas,50.11468,2.25223
St-Léger-lès-Domart,50.04832,2.1434
Létanne-Beaumont,49.54562,5.08573
Ribécourt,49.50616,2.92729
Tantonville,48.48391,6.12921
Levécourt,48.14372,5.56011
Bénestroff,48.90676,6.75232
Aubenton,49.83383,4.19898
Draize-La Romagne,49.65876,4.32588
Chéry-lès-Rozoy,49.71381,4.09782
Metz-Marchandises,49.10066,6.18386
Strasbourg-Port-du-Rhin,48.57434,7.79465
Anzeling,49.26242,6.45959
Thun-le-Paradis,49.00683,1.92016
Solesme,50.18133,3.48621
St-Hilaire (Nord),50.13223,3.91313
Boran-sur-Oise,49.16722,2.36287
Thiaville,48.41353,6.81046
Villiers-le-Bel-Gonesse,48.99378,2.41634
Honnechy,50.06254,3.48029
Brieulles-sur-Meuse,49.33542,5.18738
Chenay-Gagny,48.87721,2.55255
Schweighouse-sur-Moder,48.82879,7.74262
Ay,49.04887,4.00162
Reichstett,48.58502,7.73462
Vitry-en-Artois,50.32751,2.98137
Deinvillers,48.41744,6.56698
Tincques,50.35697,2.49764
Merrey (Haute-Marne),48.05393,5.59476
Graffenwald,47.78061,7.22577
Fegersheim-Lipsheim,48.49079,7.67221
Colmar-Nord,48.08334,7.35136
Boulange,49.38783,5.95941
Aguilcourt-Variscourt,49.40792,3.97302
Lille-Délivrance,50.62821,2.99226
